timestamp,date_time,traffic_index,jams_count,jams_length,jams_delay,traffic_index_weekago,weekday
1711224090,2024-03-24 03:01:30.000,0,5,2.2,6.3,0,Sunday
1711227690,2024-03-24 04:01:30.000,0,2,0.6,1.3,0,Sunday
1711231290,2024-03-24 05:01:30.000,0,2,6.0,2.5,0,Sunday
1711234890,2024-03-24 06:01:30.000,0,7,3.9,7.7,0,Sunday
1711238490,2024-03-24 07:01:30.000,0,4,1.2,9.4,0,Sunday
1711242090,2024-03-24 08:01:30.000,0,9,7.6,48.4,0,Sunday
1711245690,2024-03-24 09:01:30.001,0,16,11.6,59.5,0,Sunday
1711251990,2024-03-24 10:46:30.000,6,61,26.5,239.3,6,Sunday
1711255590,2024-03-24 11:46:30.000,8,59,25.1,228.7,10,Sunday
1711256490,2024-03-24 12:01:30.000,9,69,30.8,282.4,10,Sunday
1711262790,2024-03-24 13:46:30.001,16,116,50.7,472.5,16,Sunday
1711265490,2024-03-24 14:31:30.000,18,104,51.4,494.8,16,Sunday
1711267290,2024-03-24 15:01:30.000,19,133,62.4,636.2,15,Sunday
1711273590,2024-03-24 16:46:30.000,32,496,264.2,2252.9,24,Sunday
1711275390,2024-03-24 17:16:30.000,39,706,393.6,3473.0,28,Sunday
1711278090,2024-03-24 18:01:30.001,26,253,115.5,1172.4,19,Sunday
1711284390,2024-03-24 19:46:30.000,20,63,41.4,218.6,15,Sunday
1711287990,2024-03-24 20:46:30.000,24,141,75.8,599.3,16,Sunday
1711289790,2024-03-24 21:16:30.000,26,157,108.6,663.0,15,Sunday
1711292490,2024-03-24 22:01:30.000,23,103,69.7,418.8,11,Sunday
1711296090,2024-03-24 23:01:30.001,12,43,32.1,178.1,3,Sunday
